File_Name,True_Label,True_CWE,Variant_A_Baseline,Variant_E_Full
CWE_78__GET__func_FILTER-VALIDATION-number_int_filter__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-VALIDATION-number_int_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_FILTER-VALIDATION-number_int_filter__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_addslashes__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_addslashes__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_addslashes__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_addslashes__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_addslashes__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_addslashes__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_escapeshellarg__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_escapeshellarg__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_escapeshellarg__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_escapeshellarg__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_escapeshellarg__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_escapeshellarg__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_floatval__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_floatval__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_floatval__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlentities__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Safe
CWE_78__GET__func_htmlentities__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlentities__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Safe
CWE_78__GET__func_htmlentities__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlentities__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlentities__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlspecialchars__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Safe
CWE_78__GET__func_htmlspecialchars__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlspecialchars__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlspecialchars__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlspecialchars__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_htmlspecialchars__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_intval__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_intval__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_intval__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_mysql_real_escape_string__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_mysql_real_escape_string__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__GET__func_mysql_real_escape_string__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-letters_numbers__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-letters_numbers__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-letters_numbers__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-letters_numbers__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-letters_numbers__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-letters_numbers__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_letters__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_letters__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_letters__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_letters__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_letters__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_letters__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_numbers__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_numbers__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_match-only_numbers__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_replace2__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_replace2__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_replace2__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_replace2__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_replace2__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_replace__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__func_preg_replace__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__GET__whitelist_using_array__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-CLEANING-magic_quotes_filter__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_FILTER-CLEANING-magic_quotes_filter__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_FILTER-CLEANING-magic_quotes_filter__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_FILTER-CLEANING-magic_quotes_filter__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_FILTER-CLEANING-magic_quotes_filter__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_FILTER-CLEANING-magic_quotes_filter__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_FILTER-CLEANING-number_float_filter__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-CLEANING-number_float_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-CLEANING-number_float_filter__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-CLEANING-number_int_filter__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-CLEANING-number_int_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-CLEANING-number_int_filter__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-VALIDATION-number_float_filter__find_size-concatenation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-VALIDATION-number_float_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-VALIDATION-number_float_filter__find_size-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_FILTER-VALIDATION-number_int_filter__find_size-interpretation_simple_quote.php,Vulnerable,CWE-78,Safe,Safe
CWE_78__POST__func_addslashes__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_addslashes__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_addslashes__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_addslashes__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_addslashes__ls-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_addslashes__ls-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_escapeshellarg__cat-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_escapeshellarg__cat-interpretation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_escapeshellarg__cat-sprintf_%s_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_78__POST__func_escapeshellarg__ls-concatenation_simple_quote.php,Vulnerable,CWE-78,Vulnerable,Vulnerable
CWE_89__GET__func_FILTER-CLEANING-magic_quotes_filter__join-concatenation_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_89__GET__func_FILTER-CLEANING-magic_quotes_filter__join-interpretation_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_89__GET__func_FILTER-CLEANING-magic_quotes_filter__join-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_89__GET__func_FILTER-CLEANING-magic_quotes_filter__select_from-concatenation_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_89__GET__func_FILTER-CLEANING-magic_quotes_filter__select_from-interpretation_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_89__GET__func_FILTER-CLEANING-magic_quotes_filter__select_from-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_AS-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__multiple_select-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_float_filter__select_from_where-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_AS-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_select-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_select-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_select-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_select-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_select-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__multiple_select-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__select_from_where-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__select_from_where-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__select_from_where-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__select_from_where-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-CLEANING-number_int_filter__select_from_where-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_AS-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_AS-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_AS-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_AS-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_AS-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_select-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_select-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_select-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_select-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_select-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_select-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__multiple_select-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_float_filter__select_from_where-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_AS-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-interpretation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-sprintf_%d_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__multiple_select-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__select_from_where-concatenation.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__select_from_where-concatenation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__select_from_where-interpretation_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__select_from_where-sprintf_%d.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__select_from_where-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__select_from_where-sprintf_%u.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_FILTER-VALIDATION-number_int_filter__select_from_where-sprintf_%u_simple_quote.php,Vulnerable,CWE-89,Safe,Safe
CWE_89__GET__func_addslashes__join-sprintf_%s_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_89__GET__func_addslashes__select_from-concatenation_simple_quote.php,Vulnerable,CWE-89,Vulnerable,Safe
CWE_862_XPath__GET__CAST-cast_int__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__GET__ternary_white_list__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__GET__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__GET__whitelist_using_array__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__POST__CAST-cast_int__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__POST__ternary_white_list__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__POST__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__POST__whitelist_using_array__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__SESSION__CAST-cast_int__concatenation-right_verification.php,Safe,,Vulnerable,Safe
CWE_862_XPath__SESSION__ternary_white_list__concatenation-right_verification.php,Safe,,Vulnerable,Safe
CWE_862_XPath__SESSION__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__SESSION__whitelist_using_array__concatenation-right_verification.php,Safe,,Vulnerable,Vulnerable
CWE_862_XPath__array-GET__ternary_white_list__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__array-GET__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
