Model,CondA,CondB,A_only,B_only,p_exact,p_holm,sig_holm
GPT-4o-mini,B_clean,C_hinted,1,4,0.375,1.0,False
GPT-4o-mini,B_clean,D_clean,0,1,1.0,1.0,False
GPT-4o-mini,B_clean,D_hinted,0,4,0.125,1.0,False
GPT-4o-mini,B_clean,E_clean,0,2,0.5,1.0,False
GPT-4o-mini,B_clean,E_hinted,0,0,1.0,1.0,False
GPT-4o-mini,B_hinted,C_clean,1,3,0.625,1.0,False
GPT-4o-mini,B_hinted,C_hinted,2,4,0.6875,1.0,False
GPT-4o-mini,B_hinted,D_clean,1,1,1.0,1.0,False
GPT-4o-mini,B_hinted,D_hinted,0,3,0.25,1.0,False
GPT-4o-mini,B_hinted,E_clean,1,2,1.0,1.0,False
GPT-4o-mini,B_hinted,E_hinted,1,0,1.0,1.0,False
GPT-4o-mini,C_clean,C_hinted,1,1,1.0,1.0,False
GPT-4o-mini,C_clean,D_clean,2,0,0.5,1.0,False
GPT-4o-mini,C_clean,D_hinted,1,2,1.0,1.0,False
GPT-4o-mini,C_clean,E_clean,1,0,1.0,1.0,False
GPT-4o-mini,C_clean,E_hinted,3,0,0.25,1.0,False
GPT-4o-mini,C_hinted,D_clean,3,1,0.625,1.0,False
GPT-4o-mini,C_hinted,D_hinted,2,3,1.0,1.0,False
GPT-4o-mini,C_hinted,E_clean,2,1,1.0,1.0,False
GPT-4o-mini,C_hinted,E_hinted,4,1,0.375,1.0,False
GPT-4o-mini,D_clean,D_hinted,0,3,0.25,1.0,False
GPT-4o-mini,D_clean,E_clean,0,1,1.0,1.0,False
GPT-4o-mini,D_clean,E_hinted,1,0,1.0,1.0,False
GPT-4o-mini,D_hinted,E_clean,3,1,0.625,1.0,False
GPT-4o-mini,D_hinted,E_hinted,4,0,0.125,1.0,False
GPT-4o-mini,E_clean,E_hinted,2,0,0.5,1.0,False
